Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Marq By Flipkart,31490,1.5,5,3.9,"5,350",734,Split,Yes,Yes,Copper,857,43,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart
Midea,31999,1.5,3,4.1,27,2,Split,No,No,Copper,1445,38,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Voltas,31499,1.2,3,4.2,"8,317","1,007",Split,Yes,Yes,Copper,1430,44,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Lloyd,32999,1.5,3,4.1,351,42,Split,No,No,Copper,1087,42,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Daikin,46999,1.5,5,4.2,65,12,Split,Yes,No,Copper,1290,47,R32,Not Available,No,"1 Year on Product, 10 Years on Compressor and 5 Years on PCB"
Voltas,26499,0.8,3,4.1,"3,203",350,Split,No,No,Copper,826,46,R22,Not Available,No,1 Year Warranty on Product and 5 Years on Compressor From Voltas
Samsung,44990,1.5,5,4.4,139,17,Split,Yes,Yes,Copper,1350,45,R32,Not Available,No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung
Panasonic,36490,1,5,4.3,"9,607","1,169",Split,Yes,No,Copper,990,45,R32,Not Available,Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
Lloyd,26890,1.5,3,4.2,"1,002",104,Window,No,No,Copper,1269,53,R32,Not Available,No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From Lloyd
Samsung,32490,1,4,4.2,"24,029","2,445",Split,Yes,No,Copper,960,40,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Blue Star,35990,1.5,3,4.2,697,93,Split,No,No,Copper,1430,38,R34,Not Available,No,1 Year on Product and 5 Years Warranty on Compressor
Voltas,35999,1.6,3,4.3,"13,118","1,346",Split,Yes,Yes,Copper,1880,46,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor from Voltas
Whirlpool,29490,1,3,4.1,"7,689",848,Split,No,No,Copper,980,33,R32,48,No,Not Available
Carrier,29100,1.5,4,Not Available,Not Available,Not Available,Window,No,No,Copper,1558,54,Not Available,Not Available,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
